name,rating,reviews,address,price,country,bathrooms,beds,guests,toilets,bedrooms,studios
Wooden House in the Mountains - Kledung Tiny House,5.0,8,"Temanggung, Central Java, Indonesia",6328, Indonesia,1,3,5,0,2,0
GAAJ by Green Gold Coastal Agro Resort -COTTAGE -5,,0,"Palshet, Maharashtra, India",9129, India,1,2,3,0,1,0
"🍍Mango Nest Hut: AC, Garden, Wifi, Grill!",4.7,107,"Subic Bay Freeport Zone, Central Luzon, Philippines",3722, Philippines,1,1,2,0,1,0
Woodgrain Villas 1 (RAINY SEASON SALE!!!),4.83,102,"Laguna, IV-A, Philippines",9416, Philippines,1,3,6,0,1,0
Japanese-style ryokan stone house Sogili Poolvilla,4.54,117,"Jeju-si, Jeju Province, South Korea",10540, South Korea,1,1,2,0,1,0
"Rustic Tiny Kubo in Tanay, Rizal.",4.73,126,"Tanay, Calabarzon, Philippines",8245, Philippines,1,6,8,0,2,0
"Cabins in Yeong-moon, Gangwon Province",4.96,543,"Yeongwol-gun, Gangwon Province, South Korea",6727, South Korea,1,1,4,0,0,1
"Lotus home, overwater getaway with sunrise view",4.99,73,"tỉnh Kiên Giang, Vietnam",4710, Vietnam,1,1,2,0,1,0
"Where mountains, winds, clouds and stars meet 
Woori University_Minor Mountain Staycation",,1,"Suju-myeon, Yeongweol, Gangwon Province, South Korea",7669, South Korea,1,2,4,0,1,0
Sweet escape within the metro,5.0,6,"Caloocan, Metro Manila, Philippines",17371, Philippines,1,2,7,0,1,0
Areca Palm Hut is a modern bahay kubo,4.83,6,"Catmon, Central Visayas, Philippines",9624, Philippines,1,1,6,0,1,0
Stone Cottage,4.6,5,"Jibhi, Himachal Pradesh, India",2852, India,1,2,4,0,1,0
Beach Side House alohana,4.99,249,"Ishigaki, Okinawa Prefecture, Japan",12559, Japan,1,2,2,0,1,0
La Casita Paradise Beach by Ranzski travel & tours,4.76,17,"Santa Fe, Central Visayas, Philippines",2262, Philippines,1,2,3,0,1,0
Shipping Container 3@ one-north,5.0,4,"Singapore, Singapore",14804, Singapore,1,2,4,0,1,0
"(Open Memorial 30% discount 3) Private house. Duplex floor. New pension, ascent and horse, famous cafe, individual terrace, pretty accommodation",5.0,3,"Pyoseon-myeon, Seogwipo, Jeju Province, South Korea",4485, South Korea,1,1,4,0,1,0
Bantayan Summerhouse Luna Santa Fe nr Beachw / WiFi,5.0,27,"Bayan ng Santa Fe, Gitnang Kabisayaan, Philippines",2504, Philippines,1,1,4,0,1,0
Hadorian A-dong/Korean Architectural and Cultural Festival exhibition works,4.88,244,"Gujwa-eup, Jeju-si, Jeju Province, South Korea",8494, South Korea,1,2,2,0,1,0
No. 2 in Jeju > Private house where you can feel Jeju in our own space/Jeju Sunrise,5.0,49,"Jeju City., Jejuteukbyeoljachi-do, South Korea",6391, South Korea,1,1,3,0,0,1
Outdoor Bed & Breakfast with Udodol (Principal Room),4.83,208,"Jeju-si, Jeju Province, South Korea",8154, South Korea,1,1,4,0,1,0
mulberry treehouse tandi/jibhi/wifi/cafe,4.76,29,"Jibhi, Himachal Pradesh, India",2279, India,1,3,3,0,1,0
"Ngôi nhà có hoa, nắng đẹp, trung tâm Cần Thơ",5.0,23,"Ninh Kiều, Cần Thơ, Vietnam",1811, Vietnam,2,2,4,0,1,0
Subic Green Tree House,4.92,169,"Subic Bay Freeport Zone, Central Luzon, Philippines",3247, Philippines,1,1,2,0,1,0
BEAUTIFUL MODERN GUEST HOUSE,4.9,114,"Cebu City, Central Visayas, Philippines",4115, Philippines,1,1,2,0,1,0
Arga Turangga Bungalow,4.91,70,"Cisarua, Jawa Barat, Indonesia",4700, Indonesia,1,1,2,0,1,0
A small house in the forest / Relaxing environment,4.64,173,"Nishi-ku, Fukuoka-shi, Fukuoka-ken, Japan",6972, Japan,1,2,2,0,1,0
The Ancient House Viet Hai - Private house,4.95,41,"Cat Ba island, Hải Phòng, Vietnam",3858, Vietnam,1,2,2,0,1,0
Gratstays Shangarh | Sainj Valley | GHNP,4.67,6,"Sainj, Himachal Pradesh, India",1095, India,1,1,2,0,1,0
"🌿Hyunpo Green House, White Cedar Villa, 6sqm, Private use, Barbecue available",4.85,60,"Buk-myeon, Ulleung-gun, North Gyeongsang Province, South Korea",4349, South Korea,1,0,2,0,1,0
Keady Cottage - 30 metres from the beach and ocean,4.65,71,Philippines,4871,Philippines,1,1,2,0,1,0
Anahaw Rustic Hut 2 - Tinipak Lodge - Daraitan,4.6,25,"Tanay, Calabarzon, Philippines",5682, Philippines,1,2,4,0,1,0
TOUTPETIT MINI HOUSE 3 (phòng 2 người),4.63,8,"Thành phố Đà Lạt, Lâm Đồng, Vietnam",1461, Vietnam,1,1,2,0,1,0
camotes private beach hut,4.76,84,"San Francisco, Central Visayas, Philippines",1228, Philippines,1,1,2,0,1,0
ROBINSON HOUSE in Kikicoconutbeach,4.93,60,"Thành phố Phú Quốc, tỉnh Kiên Giang, Vietnam",1733, Vietnam,1,1,2,0,1,0
Evio Front Beach Cottages. Sunset Bungalow.,4.95,85,"San Vicente, MIMAROPA, Philippines",3068, Philippines,1,1,2,0,1,0
Cool Container Studio w/pool access,5.0,4,"General Santos City, Region XII, Philippines",853, Philippines,1,2,2,0,0,0
^ Haparang (phew) ^ A nice accommodation with a view where you can relax with the ocean waves,4.85,47,"Hyeonnam-myeon, Yangyang, Gangwon Province, South Korea",6116, South Korea,1,1,4,0,1,0
"Private Huts @ Mala Ki Dhani village, Jaisalmer",4.85,89,"Jaisalmer, Rajasthan, India",1084, India,2,8,8,0,2,0
The scent of a relaxing day in a home with a view of a large yard and the beach,,2,"Iwon-myeon, Taean-gun, South Chungcheong Province, South Korea",9468, South Korea,1,1,4,0,1,0
"Payag n' Kapitan ""Experience pinubre living""",,0,"Siquijor, Central Visayas, Philippines",2094, Philippines,1,1,2,0,1,0
Taiwan Taipei Dingshanshui Xinjiang - Private cabin quadruple room,4.77,67,"恆春鎮, 屏東縣, Taiwan",9340, Taiwan,1,2,8,0,1,0
"Exclusive Beach House, AC Room and hut with fan.",4.64,25,"San Narciso, Central Luzon, Philippines",10743, Philippines,1,4,15,0,1,0
Q Bungalows - bungalow bois twin - shared bathroom,4.92,24,"Kep Province, Cambodia",1598, Cambodia,1,2,2,0,1,0
"Alona Vikings Lodge #5 Alona Beach, Panglao, Bohol",4.95,21,"Panglao, Philippines",2616, Philippines,1,1,2,0,1,0
A more cozy pigeon with warm wood and wide windows,4.65,23,"가평군, 경기, South Korea",6123, South Korea,1,1,6,0,0,0
Earth Tiny House,4.93,68,"Alfonso, Calabarzon, Philippines",4101, Philippines,1,2,4,0,0,0
Traditional Cambodian Sok Phen Homestay,4.84,119,"Krong Siem Reap, Siem Reap Province, Cambodia",3648, Cambodia,1,3,6,0,1,0
Okinawa old house US vintage! Private secret base!,4.66,90,"Nago, Okinawa Prefecture, Japan",2659, Japan,1,4,6,0,2,0
"Hanumia, Bohemian Themed Bungalow",4.55,11,"Thành phố Phú Quốc, tỉnh Kiên Giang, Vietnam",2759, Vietnam,1,1,3,0,1,0
"Hamdeok Baramjip, Warm low energy house.",4.97,75,"Jochon-eup, Jeju-si, Jeju Province, South Korea",4098, South Korea,1,1,2,0,1,0
"Banyan Hideaway, Gajmal's hideout. Private space with friends and family",5.0,30,"Yakushima, Kumage-gun, Kagoshima, Japan",7825, Japan,1,0,6,0,3,0
Freedom Society Container Van 1 - WE ARE OPEN,4.94,16,"San Isidro, Caraga, Philippines",1280, Philippines,1,1,2,0,0,0
Teivah Yeshua Retreat Center: Simeon,4.72,26,"Moalboal, Central Visayas, Philippines",4221, Philippines,1,2,2,0,1,0
Saung Room at Paddies Homestay,,1,"Kecamatan Cilaku, Jawa Barat, Indonesia",1536, Indonesia,1,1,2,0,1,0
PHU NAM HOUSE - CABIN A - GREEN,4.9,50,"tỉnh Kiên Giang, Vietnam",820, Vietnam,4,4,2,0,4,0
"Bamboo made hut/kubo
2  A/C rooms",4.67,3,"Mataas Na Kahoy, Calabarzon, Philippines",8929, Philippines,2,3,8,0,2,0
Kabayod Homestay Unit 2- AC/Kitchen at GL Siargao,4.6,15,"Siargao, Caraga, Philippines",1773, Philippines,1,1,2,0,1,0
Evio Front Beach Cottages. Sunrise Bungalow.,4.85,65,"San Vicente, MIMAROPA, Philippines",3653, Philippines,1,1,2,0,1,0
Surfing Carabao Beach Kubo 2,4.85,26,"General Luna, Caraga, Philippines",5211, Philippines,1,1,2,0,1,0
Villa Dali 1,4.75,5,"El Nido, MIMAROPA, Philippines",11381, Philippines,1,1,2,0,1,0
Aninipot Villa - Private Bungalow with Ocean Views,4.9,43,"Mambajao, Northern Mindanao, Philippines",5697, Philippines,1,1,3,0,1,0
Greenwood Drum House for 2pax,,0,"Genting Highlands, Pahang, Malaysia",5540, Malaysia,1,2,2,0,1,0
Lakeside Hut in an Island for 2 (Exclusive Stay),4.86,7,"Cavinti, Calabarzon, Philippines",6035, Philippines,3,2,8,0,2,0
Runaway House in Qalaciq village,,0,"Gebele, Azerbaijan",15505, Azerbaijan,1,2,2,0,1,0
푸른 바다와 나무가 그림 같이 펼쳐지는 곳에서 여행을 즐길 수 있는 숙소의 3동,,0,"Nam-myeon, Namhae, South Gyeongsang Province, South Korea",6582, South Korea,1,1,4,0,0,0
Gumamela Native Hut #2 Close to Cloud9,4.67,18,"General Luna, Caraga, Philippines",1959, Philippines,1,2,3,0,1,0
Kotak Kotak Tip of Borneo seaview family room,4.7,30,"Kudat, Sabah, Malaysia",3994, Malaysia,1,2,2,0,1,0
Villa Viray,4.86,7,"Baguio, Cordillera Administrative Region, Philippines",3304, Philippines,1,3,5,0,1,0
"거제도, 아름다운 거제의 산과 바다 하늘을 품은 정들고 펜션",5.0,20,"Geoje-si, South Gyeongsang Province, South Korea",6931, South Korea,1,2,7,0,1,0
"YOLO # 2 - Sunny, family-friendly, single-family home with a grassy yard Stay",4.9,40,"Gujwa-eup, Cheju, Jeju Province, South Korea",7339, South Korea,1,2,4,0,1,0
Janur Bungalow-Deluxe Limasan,5.0,13,"Borobudur, Central Java, Indonesia",5806, Indonesia,1,1,2,0,1,0
Kabayod  Homestay Unit1 -AC/Kitchen at GL Siargao,4.54,13,"General Luna, Siargao, Philippines",1619, Philippines,1,1,2,0,1,0
Acuario Beach Inn Beachfront Cabana,,1,"San Vicente, Philippines",1622, Philippines,1,1,2,0,1,0
Freedom Society Container Van Dorm 4 Bed Mix,5.0,3,"San Isidro, Caraga, Philippines",949, Philippines,1,4,4,0,1,0
#3 KUBO HUTS w/AC near 100 islands Wharf w/ B-FAST,5.0,7,"Alaminos, Ilocos Region, Philippines",2110, Philippines,4,0,2,0,1,0
Deepsky Villa B - Karimunjawa,5.0,6,"Karimunjawa, Jawa Tengah, Indonesia",2550, Indonesia,1,1,2,0,1,0
Kelivana 3 - The Wooden House 1,,2,"Kecamatan Pakem, Daerah Istimewa Yogyakarta, Indonesia",4608, Indonesia,1,3,5,0,2,0
Tropical fruits garden beach front house  Dog OK,4.92,87,"Onna-son, Kunigami-gun, Okinawa-ken, Japan",12651, Japan,1,3,3,0,1,0
Permata Beach Chalet Singularity Room,4.9,11,"Juara Village, Tioman Island Kuala Rompin, Pahang, Malaysia",2450, Malaysia,1,1,2,0,1,0
"Emotional Healing in Lee Cheon-si, Seoul",4.81,117,"Sindun-myeon, Icheon-si, Gyeonggi Province, South Korea",6222, South Korea,1,1,2,0,1,0
Turtle Bay HuaHin eco luxeTurt Villa  in Lotus Bay,4.95,19,"Tambon Nong Kae, Chang Wat Prachuap Khiri Khan, Thailand",8834, Thailand,1,0,2,0,0,0
"Nacpan Beach Glamping, Ocean View Room",4.73,37,"El Nido, Philippines",12996, Philippines,0,2,2,1,1,0
VILLA VENITY Sky,5.0,3,"Thành phố Nha Trang, Khánh Hòa, Vietnam",100758, Vietnam,7,7,14,0,7,0
Leafy Greens Chiangmai : Mushroom M2,4.87,180,"Mueang Chiang Mai District, Chiang Mai, Thailand",1297, Thailand,1,2,2,0,1,0
Peace & Quiet Hotel- Floating Glass Room,4.92,12,"Jokkmokk, Norrbottens län, Sweden",34151, Sweden,0,1,2,1,1,0
Anemomilos,4.9,39,"Volimes, Greece",16365, Greece,1,2,4,0,2,0
Leafy Greens Chiangmai : Snail Dome (SND),4.74,34,"Tambon Chang Phueak, Chang Wat Chiang Mai, Thailand",5134, Thailand,2,3,8,0,2,0
family house kabirbnb,,1,"Chittorgarh, Rajasthan, India",3840, India,3,3,4,0,3,0
My Castle Khaokho : A night like a fairytale,,0,"Thung Samo, Phetchabun, Thailand",50373, Thailand,6,8,13,0,5,0
# Playroom # Kid's Pool Villa🏊 # Spa Modern and luxurious Kids Friends Accommodation Alice Alice Room (Kid's Room),,0,"Buk-myeon, Gapyeong-gun, Gyeonggi Province, South Korea",19908, South Korea,1,2,6,0,1,0
Atlantis Villa @ A'Famosa,4.73,11,"Alor Gajah, Melaka, Malaysia",34740, Malaysia,10,17,16,0,10,0
Heated sleeping cabin made of straw panels - MINI2,4.85,13,"Harju County, Estonia",4543, Estonia,1,1,2,0,1,0
Exclusive & Private Island Resort: Floral Island,4.96,130,"El Nido, MIMAROPA, Philippines",55399, Philippines,9,8,16,0,8,0
Leafy Greens Chiangmai : Mushroom M5,4.82,212,"Mueang Chiang Mai District, Chiang Mai, Thailand",1441, Thailand,1,1,3,0,2,0
Kalle's Inn Glassshouses,,0,"Mustasaari, Finland",45428, Finland,1,2,4,0,1,0
Pine Needle Treehouse at Tudor in the Pines,4.88,95,"Baguio, Cordillera Administrative Region, Philippines",9995, Philippines,1,1,2,0,1,0
"Unique, design house with an eco spa & sauna",5.0,5,"Saulkrasti, Latvia",8808, Latvia,1,1,2,0,1,0
Delightful 2-bedroom tiny house with flawless view,,0,"Gökova, Muğla, Turkey",12620, Turkey,1,2,4,0,2,0
"Ukraine, Kyiv ,Round house",5.0,6,"Petropavlivska Borshchahivka, Kyivs'ka oblast, Ukraine",11988, Ukraine,2,3,6,0,2,0
Leafy Greens Chiangmai : Mushroom M3,4.81,183,"Mueang Chiang Mai District, Chiang Mai, Thailand",1718, Thailand,1,1,3,0,2,0
Heavot Caves | The hill crest | 360 degree view,4.75,89,"Shimla, Himachal Pradesh, India",3652, India,1,2,3,0,1,0
Klimt cabin(D) -Glutotel homestay near Auroville,4.74,23,"Puducherry, India",2739, India,1,2,2,0,1,0
It creates a space that ♪  children dream of.,,1,"Nam-myeon, Taean-gun, South Chungcheong Province, South Korea",15629, South Korea,1,1,4,0,1,0
Strange Mansion (101 dong): Monopoly Pension with White Cedar Dried Una,4.7,172,"Andeok-myeon, Seogwipo-si, Jeju Province, South Korea",15493, South Korea,2,2,5,0,2,0
MINKAtinyhouse/OLIVE/Calm-Solitary-Different accommodation,4.88,61,"Urla, İzmir, Turkey",6516, Turkey,1,1,3,0,1,0
Enjoy nature in a Unique container/bamboo house,5.0,3,"Tambon San Pa Yang, Chang Wat Chiang Mai, Thailand",2889, Thailand,1,0,4,0,1,0
The Lahluna Star Room,4.81,74,"Silang, Calabarzon, Philippines",8117, Philippines,1,3,4,0,1,0
OConnor beach resort,4.79,58,"Cabangan, Central Luzon, Philippines",11375, Philippines,2,10,14,0,2,0
"ÖÖD Hötels Rooslepa ""ÄLSKAR"" with Sauna",4.78,18,"Rooslepa / Roslep, Lääne County, Estonia",19326, Estonia,1,1,2,0,1,0
Seaside getaway in Ööd mirror house,4.95,41,"Alliklepa, Harju County, Estonia",10903, Estonia,1,1,2,0,1,0
Villa The Spot - Room B6,4.77,13,"Ko Samui District, Surat Thani, Thailand",8555, Thailand,1,1,2,0,1,0
Cozy Nordic Iglucabin with exceptional seaview I,5.0,3,"Põhja-Tallinna, Harju maakond, Estonia",12738, Estonia,1,1,2,0,1,0
Energy pyramid (Energy Package),4.8,10,"Villike, Estonia",16808, Estonia,0,1,2,0,1,0
Euphoria Art Land - The Color House,4.88,83,"Πύργος, Limasol, Cyprus",12538, Cyprus,1,2,4,0,1,0
Euphoria Art Land - The Earth House,4.92,73,"Πύργος, Limasol, Cyprus",5597, Cyprus,1,1,1,0,1,0
Bed&Boat | two-story boathouse on lake+boat(incl.),4.71,65,"Alūksne, Latvia",4122, Latvia,0,2,3,0,1,0
Mushroom House - Eco earth bag round house,4.97,30,"Amphoe Pai, Chang Wat Mae Hong Son, Thailand",853, Thailand,1,2,2,0,1,0
"Pyramid Sapanca Bungalow
with private pool and jacuzzi",5.0,3,"Sapanca, Sakarya, Turkey",15062, Turkey,1,0,4,0,1,0
Heated sleeping cabin made of straw panels - TWIN,,2,"Harju County, Estonia",4543, Estonia,1,2,2,0,1,0
Le Manoir des Bougainvilliers,5.0,69,"Puerto Galera, MIMAROPA, Philippines",3117, Philippines,8,12,16,0,8,0
Modern House with Farmstay Mountain View,4.94,17,"Don Tako, Ratchaburi, Thailand",4257, Thailand,1,2,3,0,1,0
3 Bedroom Heavot Caves | Fairytale Experience,4.67,3,"Shimla, Himachal Pradesh, India",10749, India,3,6,9,0,3,0
Feel like Pinecone,5.0,3,"Jūrmala, Latvia",2835, Latvia,1,1,2,0,1,0
Green Windmill,5.0,8,"Imerovigli, Santorini, Greece",46336, Greece,3,3,5,0,2,0
Trang An Lamia Bungalow - Bamboo Treehouse,,2,"Ninh Binh, Ninh Bình Province, Vietnam",5461, Vietnam,1,1,2,0,1,0
Dadaam Round Flooring Hwang Toe House,4.93,276,"Daedeok-myeon, Damyang, South Jeolla Province, South Korea",10152, South Korea,1,2,4,0,1,0
Houseboat by the sea Alkyona Beach - your oasis of peace,5.0,11,"Pieria, Greece",7415, Greece,1,10,6,0,3,0
The Frame (Cotton Tree View),5.0,12,"Imaduwa, Southern Province, Sri Lanka",6840, Sri Lanka,1,2,3,0,1,0
Blue Berry(E) -Glutotel homestay near Auroville,4.86,22,"Puducherry, India",2739, India,1,2,2,0,1,0
*Living with local. Explore with friends.,4.92,40,"Ao Luek Tai, Krabi, Thailand",1965, Thailand,3,1,2,0,1,0
Cozy little house with sauna on a fishing boat,4.9,30,"Pärnu, Pärnu maakond, Estonia",11539, Estonia,1,2,2,0,1,0
🌟 Royal Orchid Farms,,0,"Jodhpur, Rajasthan, India",5706, India,1,1,2,0,1,0
Barrels on the Vlasina lake,4.77,14,"Vlasina Lake, Serbia",2271, Serbia,0,3,6,0,1,0
Omaya Fairytale House,,1,"Gaytaninovo, Blagoevgrad Province, Bulgaria",10903, Bulgaria,1,1,2,0,1,0
Omaya Nutshell House,4.67,3,"Gaytaninovo, Blagoevgrad Province, Bulgaria",10176, Bulgaria,1,1,2,0,1,0
PHU NAM HOUSE - HOBBIT,5.0,17,"Phú Quốc, tỉnh Kiên Giang, Vietnam",1740, Vietnam,1,1,2,0,1,0
"Brown Dome House No. 1, full of healing",4.7,20,"Imhoe-myeon, Jindo, South Jeolla Province, South Korea",4529, South Korea,8,0,4,0,0,0
Theasis Igloo - Family Farm House,,1,"Ktistades, Greece",9458, Greece,1,5,4,0,2,0
UFO 4 Room UFO 4 (Uncooked/Ocean View/Randomly Assigned) in a home where you can heal with your loved ones in a space with the smell of the sea,,1,"Aewol-eup, Cheju, Jeju Province, South Korea",3156, South Korea,1,1,4,0,0,0
넷플릭스/유튜브/바베큐이벤트/성산일출봉/우도/감성펜션-별비1,,0,"Seongsan-eup, Seogwipo-si, Jeju Province, South Korea",10193, South Korea,1,0,4,0,1,0
Earth home for family with  the  grill outside.,,0,"Chiang Mai, Thailand",6591, Thailand,1,0,4,0,1,0
Taal Maranan's Farmville Inc. - TIGER Room,,0,"Taal, Calabarzon, Philippines",4059, Philippines,1,1,2,0,1,0
"Sensible Jeju Seongsan Private House, Dongri No. 5/16 pyeong/Private pension/Individual terrace/Barbecue available",5.0,3,"Seongsan-eup, Seogwipo, Jeju Province, South Korea",4009, South Korea,1,1,2,0,1,0
Chiang Dao Roundhouses #1 The Cave,5.0,26,"Chiang Dao, Chiang Mai, Thailand",3274, Thailand,1,1,2,0,1,0
Ravdoucha Epavlis Athina,,0,"Ravdoucha, Greece",46336, Greece,2,3,6,0,2,0
Casa Acantilado,,0,"Salobreña, Andalucía, Spain",38477, Spain,3,4,6,0,3,0
MICA (Chalets Micro-Element) CITQ 303134,4.99,146,"Lac-Beauport, Quebec, Canada",28144, Canada,1,4,4,0,2,0
"Aura House 2bds Eco Bamboo House, Pool, River View",4.87,142,"Abiansemal, Bali, Indonesia",28772, Indonesia,2,2,4,0,2,0
Sharma Springs 5 bds Luxurious Bamboo Mansion Pool,5.0,50,"Abiansemal, Bali, Indonesia",59558, Indonesia,4,5,10,0,5,0
"Glass cottage with Hot tub ""Blár""",4.96,237,"Hella, Iceland",46495, Iceland,1,1,2,0,1,0
Breathtaking Mountain views in cozy Birdbox,4.99,137,"Gaular, Sogn og Fjordane, Norway",32666, Norway,0,1,2,1,1,0
Alianz Loft,4.87,385,"Heredia, Costa Rica",32788, Costa Rica,2,2,4,0,2,0
Sunflower House,4.75,134,"El Port de la Selva, Catalonia, Spain",43285, Spain,3,5,10,0,4,0
Minimalist Modern Cabin - Amazing Views,4.84,393,"Yucca Valley, California, United States",18433, United States,1,1,2,0,1,0
"Luxury suite overlooking the Wadden Sea, Harlingen",4.98,48,"Harlingen, Friesland, Netherlands",29619, Netherlands,1,1,2,0,1,0
The Bloomhouse by Lodgewell>>Fairy Tale Escape,4.9,102,"Austin, Texas, United States",58460, United States,1,2,4,0,1,0
UFO 5 rooms UFO 5 rooms (self-catering/randomly assigned),,0,"Aewol-eup, Cheju, Jeju Province, South Korea",3787, South Korea,1,1,4,0,0,0
Architectural wonder in the woods,4.88,170,"Rhinebeck, New York, United States",43482, United States,2,2,4,0,0,1
UFO  'Futuro styled Flying Saucer'!,4.75,28,"Redberth, United Kingdom",19217, United Kingdom,0,3,4,0,1,0
Flea Windmill | The Mill,4.95,150,"Ponta Delgada, S. Miguel - Açores, Portugal",10059, Portugal,1,1,2,0,1,0
Luxe Boulder 'Barrett House' on Mtn Peak w/Hot Tub,4.95,42,"Boulder, Colorado, United States",68658, United States,3,4,6,0,3,0
Yellow Submarine,4.91,475,"Marton, Manawatu-Wanganui, New Zealand",10798, New Zealand,1,2,4,0,1,0
Unique stay at Amsterdam The Crane by YAYS,4.76,17,"Amsterdam, BH, Netherlands",34012, Netherlands,1,1,2,0,1,0
The Boot - Fairytale Accommodation,4.92,72,"Nelson, New Zealand",14218, New Zealand,1,1,2,0,1,0
EAGLE'S WATCH MALIBU- Architectural w/ Ocean View,4.88,8,"Malibu, California, United States",110392, United States,3,3,8,0,3,0
Unique 'Earthouse' Retreat w/ Spring-Fed Creek,4.93,28,"Springfield, Missouri, United States",35824, United States,3,4,8,0,3,0
Lov 'Nid Passion cabin for 2 people,,1,"Joncherey, Bourgogne-Franche-Comté, France",19080, France,1,1,2,0,1,0
Cliff Dweller:  Spend a night Suspended from the Ridgeline!,4.91,77,"Campton, Kentucky, United States",84510, United States,1,2,4,0,1,0
HIDEOUT HORIZON - Eco Bamboo Home,4.9,141,"Selat, Bali, Indonesia",18843, Indonesia,1,3,4,0,2,0
Naturalist Boudoir,4.89,379,"Lumberton, Texas, United States",20220, United States,1,1,2,0,1,0
Amazing view of fjord & mountains glamping Birdbox,4.87,277,"Forde, Vestland fylke, Norway",37239, Norway,0,1,2,1,1,0
Makalele Eclipse Family Suite,4.6,10,"Pemenang, West Nusa Tenggara, Indonesia",9475, Indonesia,1,2,4,0,1,0
True Cold War Relic Atlas F Missile Silo / Bunker,4.99,199,"Roswell, New Mexico, United States",50332, United States,1,2,2,0,1,0
Invisible House Joshua Tree - Skyscraper with Pool,4.78,91,"Joshua Tree, California, United States",260972, United States,5,3,8,0,4,0
Drommen Shack - The Shack Tree,4.68,53,"Guyonvelle, Grand Est, France",8730, France,0,1,2,0,1,0
Apple Ridge Farm Caboose Bed & Breakfast - #3,4.88,50,"Copper Hill, Virginia, United States",12850, United States,1,2,4,0,1,0
Charming Wood-roof Simple Survival Earthship,4.89,85,"El Prado, New Mexico, United States",10748, United States,1,1,4,0,1,0
Dome Sweet Dome ... A Must Experience!,4.95,310,"Bend, Oregon, United States",14933, United States,1,2,3,0,2,0
"“The Willow”  Stunning location, Amazing views",4.96,177,"Pembroke, Pembrokeshire, United Kingdom",14991, United Kingdom,1,3,4,0,1,0
Unique glamping experience near Ely & Cambridge,4.92,299,"Sutton, England, United Kingdom",16128, United Kingdom,1,1,2,0,1,0
Picasso cabin(B) -Glutotel homestay near Auroville,,1,"Edayanchavadi, Tamil Nadu, India",2739, India,1,2,2,0,1,0
Conestoga Wagon on Dude Ranch NEAR LAS VEGAS,4.85,123,"Sandy Valley, Nevada, United States",11673, United States,1,3,4,0,1,0
Forest Garden Yurts,4.9,100,"Galena, Missouri, United States",11015, United States,1,5,6,0,1,0
Artist's Tower on the Sea,5.0,4,"Bocas Town, Provincia de Bocas del Toro, Panama",10990, Panama,2,5,5,0,2,0
Hobbit Cottage,4.96,370,"Cedar City, Utah, United States",7492, United States,1,1,2,0,1,0
The Seashell House,4.73,364,"Isla Mujeres, Mexico",29552, Mexico,2,2,4,0,2,0
Semi Open Bamboo Bungalow + Instagram Hammock Net,4.78,50,"Uluwatu, Bali, Indonesia",12275, Indonesia,1,2,2,0,2,0
The Silo House At Laughing Llama Farm,4.99,277,"Troy, Texas, United States",23664, United States,1,2,4,0,1,0
Skylodge Adventure Suites,4.9,234,"Urubamba, Peru",39218, Peru,1,1,1,0,1,0
Crystal Peak Lookout 🌲,4.86,380,"Fernwood, Idaho, United States",27531, United States,0,1,2,0,1,0
One bedroom property with furnished balcony at CArvoeiro,,1,"Carvoeiro, Faro District, Portugal",9379, Portugal,1,2,4,0,1,0
La Redonda,4.84,130,"Jalpan de Serra, Querétaro, Mexico",4554, Mexico,1,2,3,0,1,0
The WonderInn Riverside Retreat - Cabin Mara,4.9,30,"Nes, Viken, Norway",28788, Norway,2,1,2,0,1,0
Guard Tower Suite #1 with Pool,4.85,39,"Joshua Tree, California, United States",29874, United States,1,1,2,0,1,0
Kettle House Galveston - As Seen On TV DIY,4.95,255,"Galveston, Texas, United States",24322, United States,1,3,6,0,2,0
"Cave House,Suite in the Nature",4.93,140,"Villarrubia, Córdoba, AL, Spain",16878, Spain,1,3,4,0,1,0
Geodome Private peaceful Getaway near Lake Travis,4.75,64,"Leander, Texas, United States",55835, United States,3,5,12,0,5,0
ÖÖD Suite Lake View (no kitchen),4.95,19,"IJmuiden, Noord-Holland, Netherlands",18550, Netherlands,1,1,2,0,0,0
Domeland:  Off-grid Adobe Dome near Big Bend,4.95,780,"Terlingua, Texas, United States",11071, United States,0,1,3,1,1,0
Ark,4.94,252,"Springfield, Tennessee, United States",17879, United States,1,1,4,0,1,0
Unique and luxurious hideaway with private hot tub,4.85,78,"Worstead, England, United Kingdom",13678, United Kingdom,1,1,4,0,1,0
THE POD - GRAND DESIGNS LIVING,4.84,121,"Lewisham, Tasmania, Australia",20233, Australia,1,1,2,0,1,0
"Otter Landing on Santa Fe River, 13 private acres",4.95,73,"Branford, Florida, United States",17520, United States,2,3,4,0,2,0
Ica View Glamping,4.96,473,"Whareama, Wellington, New Zealand",11794, New Zealand,1,1,2,0,1,0
Gawthorne's Hut - BEST UNIQUE STAY - Airbnb 2021,5.0,186,"Mudgee, New South Wales, Australia",31420, Australia,1,1,2,0,1,0
The original Spice Bus from 1997 movie Spice World,4.86,205,"Isle of Wight, England, United Kingdom",23557, United Kingdom,1,2,3,0,1,0
"R.I.P. by ŘÍP -          
Rest In Pod by ŘÍP",4.96,28,"Krabčice, Ústecký kraj, Czechia",5537, Czechia,1,1,2,0,1,0
Dome house in the Sacred Valley,4.66,32,"Pisac, Cusco, Peru",3110, Peru,1,1,2,0,1,0
